Bus,carrier
AL,AC
AT,AC
BA,AC
BE,AC
BG,AC
CH,AC
CZ,AC
DE,AC
DK,AC
EE,AC
ES,AC
FI,AC
FR,AC
GB,AC
GBI,AC
GR,AC
HR,AC
HU,AC
IE,AC
IT,AC
LT,AC
LU,AC
LV,AC
ME,AC
MK,AC
NL,AC
NO,AC
PL,AC
PT,AC
RO,AC
RS,AC
SE,AC
SI,AC
SK,AC
XK,AC
EU,none
co2 atmosphere,co2
AL co2 stored,co2 stored
AT co2 stored,co2 stored
BA co2 stored,co2 stored
BE co2 stored,co2 stored
BG co2 stored,co2 stored
CH co2 stored,co2 stored
CZ co2 stored,co2 stored
DE co2 stored,co2 stored
DK co2 stored,co2 stored
EE co2 stored,co2 stored
ES co2 stored,co2 stored
FI co2 stored,co2 stored
FR co2 stored,co2 stored
GB co2 stored,co2 stored
GBI co2 stored,co2 stored
GR co2 stored,co2 stored
HR co2 stored,co2 stored
HU co2 stored,co2 stored
IE co2 stored,co2 stored
IT co2 stored,co2 stored
LT co2 stored,co2 stored
LU co2 stored,co2 stored
LV co2 stored,co2 stored
ME co2 stored,co2 stored
MK co2 stored,co2 stored
NL co2 stored,co2 stored
NO co2 stored,co2 stored
PL co2 stored,co2 stored
PT co2 stored,co2 stored
RO co2 stored,co2 stored
RS co2 stored,co2 stored
SE co2 stored,co2 stored
SI co2 stored,co2 stored
SK co2 stored,co2 stored
XK co2 stored,co2 stored
AL co2 sequestered,co2 sequestered
AT co2 sequestered,co2 sequestered
BA co2 sequestered,co2 sequestered
BE co2 sequestered,co2 sequestered
BG co2 sequestered,co2 sequestered
CH co2 sequestered,co2 sequestered
CZ co2 sequestered,co2 sequestered
DE co2 sequestered,co2 sequestered
DK co2 sequestered,co2 sequestered
EE co2 sequestered,co2 sequestered
ES co2 sequestered,co2 sequestered
FI co2 sequestered,co2 sequestered
FR co2 sequestered,co2 sequestered
GB co2 sequestered,co2 sequestered
GBI co2 sequestered,co2 sequestered
GR co2 sequestered,co2 sequestered
HR co2 sequestered,co2 sequestered
HU co2 sequestered,co2 sequestered
IE co2 sequestered,co2 sequestered
IT co2 sequestered,co2 sequestered
LT co2 sequestered,co2 sequestered
LU co2 sequestered,co2 sequestered
LV co2 sequestered,co2 sequestered
ME co2 sequestered,co2 sequestered
MK co2 sequestered,co2 sequestered
NL co2 sequestered,co2 sequestered
NO co2 sequestered,co2 sequestered
PL co2 sequestered,co2 sequestered
PT co2 sequestered,co2 sequestered
RO co2 sequestered,co2 sequestered
RS co2 sequestered,co2 sequestered
SE co2 sequestered,co2 sequestered
SI co2 sequestered,co2 sequestered
SK co2 sequestered,co2 sequestered
XK co2 sequestered,co2 sequestered
AL gas,gas
AT gas,gas
BA gas,gas
BE gas,gas
BG gas,gas
CH gas,gas
CZ gas,gas
DE gas,gas
DK gas,gas
EE gas,gas
ES gas,gas
FI gas,gas
FR gas,gas
GB gas,gas
GBI gas,gas
GR gas,gas
HR gas,gas
HU gas,gas
IE gas,gas
IT gas,gas
LT gas,gas
LU gas,gas
LV gas,gas
ME gas,gas
MK gas,gas
NL gas,gas
NO gas,gas
PL gas,gas
PT gas,gas
RO gas,gas
RS gas,gas
SE gas,gas
SI gas,gas
SK gas,gas
XK gas,gas
AL H2,H2
AT H2,H2
BA H2,H2
BE H2,H2
BG H2,H2
CH H2,H2
CZ H2,H2
DE H2,H2
DK H2,H2
EE H2,H2
ES H2,H2
FI H2,H2
FR H2,H2
GB H2,H2
GBI H2,H2
GR H2,H2
HR H2,H2
HU H2,H2
IE H2,H2
IT H2,H2
LT H2,H2
LU H2,H2
LV H2,H2
ME H2,H2
MK H2,H2
NL H2,H2
NO H2,H2
PL H2,H2
PT H2,H2
RO H2,H2
RS H2,H2
SE H2,H2
SI H2,H2
SK H2,H2
XK H2,H2
AL battery,battery
AT battery,battery
BA battery,battery
BE battery,battery
BG battery,battery
CH battery,battery
CZ battery,battery
DE battery,battery
DK battery,battery
EE battery,battery
ES battery,battery
FI battery,battery
FR battery,battery
GB battery,battery
GBI battery,battery
GR battery,battery
HR battery,battery
HU battery,battery
IE battery,battery
IT battery,battery
LT battery,battery
LU battery,battery
LV battery,battery
ME battery,battery
MK battery,battery
NL battery,battery
NO battery,battery
PL battery,battery
PT battery,battery
RO battery,battery
RS battery,battery
SE battery,battery
SI battery,battery
SK battery,battery
XK battery,battery
AL EV battery,EV battery
AT EV battery,EV battery
BA EV battery,EV battery
BE EV battery,EV battery
BG EV battery,EV battery
CH EV battery,EV battery
CZ EV battery,EV battery
DE EV battery,EV battery
DK EV battery,EV battery
EE EV battery,EV battery
ES EV battery,EV battery
FI EV battery,EV battery
FR EV battery,EV battery
GB EV battery,EV battery
GBI EV battery,EV battery
GR EV battery,EV battery
HR EV battery,EV battery
HU EV battery,EV battery
IE EV battery,EV battery
IT EV battery,EV battery
LT EV battery,EV battery
LU EV battery,EV battery
LV EV battery,EV battery
ME EV battery,EV battery
MK EV battery,EV battery
NL EV battery,EV battery
NO EV battery,EV battery
PL EV battery,EV battery
PT EV battery,EV battery
RO EV battery,EV battery
RS EV battery,EV battery
SE EV battery,EV battery
SI EV battery,EV battery
SK EV battery,EV battery
XK EV battery,EV battery
EU oil,oil
EU oil primary,oil primary
AL land transport oil,land transport oil
AT land transport oil,land transport oil
BA land transport oil,land transport oil
BE land transport oil,land transport oil
BG land transport oil,land transport oil
CH land transport oil,land transport oil
CZ land transport oil,land transport oil
DE land transport oil,land transport oil
DK land transport oil,land transport oil
EE land transport oil,land transport oil
ES land transport oil,land transport oil
FI land transport oil,land transport oil
FR land transport oil,land transport oil
GB land transport oil,land transport oil
GBI land transport oil,land transport oil
GR land transport oil,land transport oil
HR land transport oil,land transport oil
HU land transport oil,land transport oil
IE land transport oil,land transport oil
IT land transport oil,land transport oil
LT land transport oil,land transport oil
LU land transport oil,land transport oil
LV land transport oil,land transport oil
ME land transport oil,land transport oil
MK land transport oil,land transport oil
NL land transport oil,land transport oil
NO land transport oil,land transport oil
PL land transport oil,land transport oil
PT land transport oil,land transport oil
RO land transport oil,land transport oil
RS land transport oil,land transport oil
SE land transport oil,land transport oil
SI land transport oil,land transport oil
SK land transport oil,land transport oil
XK land transport oil,land transport oil
AL urban central heat,urban central heat
AT urban central heat,urban central heat
BA urban central heat,urban central heat
BE urban central heat,urban central heat
BG urban central heat,urban central heat
CH urban central heat,urban central heat
CZ urban central heat,urban central heat
DE urban central heat,urban central heat
DK urban central heat,urban central heat
EE urban central heat,urban central heat
ES urban central heat,urban central heat
FI urban central heat,urban central heat
FR urban central heat,urban central heat
GB urban central heat,urban central heat
GBI urban central heat,urban central heat
GR urban central heat,urban central heat
HR urban central heat,urban central heat
HU urban central heat,urban central heat
IE urban central heat,urban central heat
IT urban central heat,urban central heat
LT urban central heat,urban central heat
LU urban central heat,urban central heat
LV urban central heat,urban central heat
ME urban central heat,urban central heat
MK urban central heat,urban central heat
NL urban central heat,urban central heat
NO urban central heat,urban central heat
PL urban central heat,urban central heat
PT urban central heat,urban central heat
RO urban central heat,urban central heat
RS urban central heat,urban central heat
SE urban central heat,urban central heat
SI urban central heat,urban central heat
SK urban central heat,urban central heat
XK urban central heat,urban central heat
AL gas urban central heat,gas urban central heat
AT gas urban central heat,gas urban central heat
BA gas urban central heat,gas urban central heat
BE gas urban central heat,gas urban central heat
BG gas urban central heat,gas urban central heat
CH gas urban central heat,gas urban central heat
CZ gas urban central heat,gas urban central heat
DE gas urban central heat,gas urban central heat
DK gas urban central heat,gas urban central heat
EE gas urban central heat,gas urban central heat
ES gas urban central heat,gas urban central heat
FI gas urban central heat,gas urban central heat
FR gas urban central heat,gas urban central heat
GB gas urban central heat,gas urban central heat
GBI gas urban central heat,gas urban central heat
GR gas urban central heat,gas urban central heat
HR gas urban central heat,gas urban central heat
HU gas urban central heat,gas urban central heat
IE gas urban central heat,gas urban central heat
IT gas urban central heat,gas urban central heat
LT gas urban central heat,gas urban central heat
LU gas urban central heat,gas urban central heat
LV gas urban central heat,gas urban central heat
ME gas urban central heat,gas urban central heat
MK gas urban central heat,gas urban central heat
NL gas urban central heat,gas urban central heat
NO gas urban central heat,gas urban central heat
PL gas urban central heat,gas urban central heat
PT gas urban central heat,gas urban central heat
RO gas urban central heat,gas urban central heat
RS gas urban central heat,gas urban central heat
SE gas urban central heat,gas urban central heat
SI gas urban central heat,gas urban central heat
SK gas urban central heat,gas urban central heat
XK gas urban central heat,gas urban central heat
AL electricity urban central heat,electricity urban central heat
AT electricity urban central heat,electricity urban central heat
BA electricity urban central heat,electricity urban central heat
BE electricity urban central heat,electricity urban central heat
BG electricity urban central heat,electricity urban central heat
CH electricity urban central heat,electricity urban central heat
CZ electricity urban central heat,electricity urban central heat
DE electricity urban central heat,electricity urban central heat
DK electricity urban central heat,electricity urban central heat
EE electricity urban central heat,electricity urban central heat
ES electricity urban central heat,electricity urban central heat
FI electricity urban central heat,electricity urban central heat
FR electricity urban central heat,electricity urban central heat
GB electricity urban central heat,electricity urban central heat
GBI electricity urban central heat,electricity urban central heat
GR electricity urban central heat,electricity urban central heat
HR electricity urban central heat,electricity urban central heat
HU electricity urban central heat,electricity urban central heat
IE electricity urban central heat,electricity urban central heat
IT electricity urban central heat,electricity urban central heat
LT electricity urban central heat,electricity urban central heat
LU electricity urban central heat,electricity urban central heat
LV electricity urban central heat,electricity urban central heat
ME electricity urban central heat,electricity urban central heat
MK electricity urban central heat,electricity urban central heat
NL electricity urban central heat,electricity urban central heat
NO electricity urban central heat,electricity urban central heat
PL electricity urban central heat,electricity urban central heat
PT electricity urban central heat,electricity urban central heat
RO electricity urban central heat,electricity urban central heat
RS electricity urban central heat,electricity urban central heat
