Generator,bus,p_nom_extendable,sign,carrier
BE nuclear,BE,True,1.0,nuclear
BG nuclear,BG,True,1.0,nuclear
CH nuclear,CH,True,1.0,nuclear
CZ nuclear,CZ,True,1.0,nuclear
ES nuclear,ES,True,1.0,nuclear
FI nuclear,FI,True,1.0,nuclear
FR nuclear,FR,True,1.0,nuclear
GB nuclear,GB,True,1.0,nuclear
HU nuclear,HU,True,1.0,nuclear
NL nuclear,NL,True,1.0,nuclear
RO nuclear,RO,True,1.0,nuclear
SE nuclear,SE,True,1.0,nuclear
SI nuclear,SI,True,1.0,nuclear
SK nuclear,SK,True,1.0,nuclear
AL 0 onwind,AL,True,1.0,onwind
AT 0 onwind,AT,True,1.0,onwind
BA 0 onwind,BA,True,1.0,onwind
BE 0 onwind,BE,True,1.0,onwind
BG 0 onwind,BG,True,1.0,onwind
CH 0 onwind,CH,True,1.0,onwind
CZ 0 onwind,CZ,True,1.0,onwind
DE 0 onwind,DE,True,1.0,onwind
DK 0 onwind,DK,True,1.0,onwind
EE 0 onwind,EE,True,1.0,onwind
ES 0 onwind,ES,True,1.0,onwind
FI 0 onwind,FI,True,1.0,onwind
FR 0 onwind,FR,True,1.0,onwind
GB 0 onwind,GB,True,1.0,onwind
GBI 0 onwind,GBI,True,1.0,onwind
GR 0 onwind,GR,True,1.0,onwind
HR 0 onwind,HR,True,1.0,onwind
HU 0 onwind,HU,True,1.0,onwind
IE 0 onwind,IE,True,1.0,onwind
IT 0 onwind,IT,True,1.0,onwind
LT 0 onwind,LT,True,1.0,onwind
LU 0 onwind,LU,True,1.0,onwind
LV 0 onwind,LV,True,1.0,onwind
ME 0 onwind,ME,True,1.0,onwind
MK 0 onwind,MK,True,1.0,onwind
NL 0 onwind,NL,True,1.0,onwind
NO 0 onwind,NO,True,1.0,onwind
PL 0 onwind,PL,True,1.0,onwind
PT 0 onwind,PT,True,1.0,onwind
RO 0 onwind,RO,True,1.0,onwind
RS 0 onwind,RS,True,1.0,onwind
SE 0 onwind,SE,True,1.0,onwind
