Line,bus0,bus1,carrier
0,AL,GR,AC
1,AL,ME,AC
10,AT,IT,AC
11,AT,SI,AC
12,BA,HR,AC
13,BA,ME,AC
14,BA,RS,AC
15,BA,RS,AC
16,BE,FR,AC
17,BE,LU,AC
18,BE,NL,AC
19,BG,GR,AC
2,AL,MK,AC
20,BG,GR,AC
21,BG,MK,AC
22,BG,RO,AC
23,BG,RS,AC
24,CH,DE,AC
25,CH,FR,AC
26,CH,IT,AC
27,CZ,DE,AC
28,CZ,PL,AC
29,CZ,SK,AC
3,AL,XK,AC
30,DE,DK,AC
31,DE,DK,AC
32,DE,DK,AC
33,DE,FR,AC
34,DE,LU,AC
35,DE,NL,AC
36,DE,PL,AC
37,DK,SE,AC
38,EE,LV,AC
39,ES,FR,AC
4,AT,CH,AC
40,ES,PT,AC
41,ES,PT,AC
42,FI,NO,AC
43,FI,SE,AC
44,FI,SE,AC
45,FR,IT,AC
46,FR,LU,AC
47,GB,GBI,AC
48,GB,IE,AC
49,GB,IE,AC
5,AT,CZ,AC
50,GR,MK,AC
51,HR,HU,AC
52,HR,RS,AC
53,HR,SI,AC
54,HU,RO,AC
55,HU,RS,AC
56,HU,SI,AC
57,HU,SI,AC
58,HU,SK,AC
59,HU,SK,AC
6,AT,CZ,AC
60,IT,SI,AC
61,LT,LV,AC
62,LT,PL,AC
63,ME,RS,AC
64,ME,RS,AC
65,ME,XK,AC
66,MK,RS,AC
67,MK,XK,AC
68,NO,SE,AC
69,PL,SK,AC
7,AT,DE,AC
70,RO,RS,AC
71,RS,XK,AC
8,AT,DE,AC
9,AT,HU,AC
