Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
relation/10377412-320-DC,FR,GB,DC,True,,,
relation/13295785-515-DC,NO,GB,DC,True,,,
relation/14126301-450-DC,GB,NL,DC,True,,,
relation/15772117-320-DC,GB,FR,DC,True,,,
relation/15781671-525-DC,GB,DK,DC,True,,,
relation/16213216-525-DC,DE,NO,DC,True,,,
relation/2127794-270-DC,GB,FR,DC,True,,,
relation/2505320-400-DC,DK,DE,DC,True,,,
relation/3391794-200-DC,IT,FR,DC,True,,,
relation/3391931-350-DC,DK,NO,DC,True,,,
relation/3391954-500-DC,FI,SE,DC,True,,,
relation/3392010-450-DC,PL,SE,DC,True,,,
relation/3918230-450-DC,DE,SE,DC,True,,,
relation/6886400-450-DC,EE,FI,DC,True,,,
relation/8184629-300-DC,DK,SE,DC,True,,,
relation/8184630-150-DC,EE,FI,DC,True,,,
relation/8184631-400-DC,SE,FI,DC,True,,,
relation/8184632-500-DC,DK,NO,DC,True,,,
relation/8184641-200-DC,GB,IE,DC,True,,,
relation/8185420-320-DC,DK,NL,DC,True,,,
relation/8185455-300-DC,LT,SE,DC,True,,,
relation/8185487-400-DC,GB,BE,DC,True,,,
relation/8185664-400-DC,IT,GR,DC,True,,,
relation/8185767-500-DC,IT,ME,DC,True,,,
relation/8193755-320-DC,BE,DE,DC,True,,,
relation/9934065-320-DC,FR,ES,DC,True,,,
relation/9934066-320-DC,FR,ES,DC,True,,,
relation/9965201-450-DC,NL,NO,DC,True,,,
relation/9982798-200-DC,FR,IT,DC,True,,,
TYNDP2020_6,IT,ME,DC,True,,,
TYNDP2020_17,IE,FR,DC,True,,,
TYNDP2020_29,IT,FR,DC,True,,,
TYNDP2020_30,FR,IT,DC,True,,,
TYNDP2020_31,IT,SI,DC,True,,,
TYNDP2020_32,GB,DE,DC,True,,,
TYNDP2020_33,LT,PL,DC,True,,,
TYNDP2020_36,GB,FR,DC,True,,,
TYNDP2020_37,IT,CH,DC,True,,,
TYNDP2020_38,SE,DE,DC,True,,,
DC2,DE,FR,DC,True,,,
TYNDP2024_153,GB,FR,DC,True,,,
TYNDP2024_285,GB,FR,DC,True,,,
TYNDP2024_16,ES,FR,DC,True,,,
TYNDP2022_286,IE,GB,DC,True,,,
AL co2 sequestered,AL co2 stored,AL co2 sequestered,co2 sequestered,True,,,
AT co2 sequestered,AT co2 stored,AT co2 sequestered,co2 sequestered,True,,,
BA co2 sequestered,BA co2 stored,BA co2 sequestered,co2 sequestered,True,,,
BE co2 sequestered,BE co2 stored,BE co2 sequestered,co2 sequestered,True,,,
BG co2 sequestered,BG co2 stored,BG co2 sequestered,co2 sequestered,True,,,
CH co2 sequestered,CH co2 stored,CH co2 sequestered,co2 sequestered,True,,,
CZ co2 sequestered,CZ co2 stored,CZ co2 sequestered,co2 sequestered,True,,,
DE co2 sequestered,DE co2 stored,DE co2 sequestered,co2 sequestered,True,,,
DK co2 sequestered,DK co2 stored,DK co2 sequestered,co2 sequestered,True,,,
EE co2 sequestered,EE co2 stored,EE co2 sequestered,co2 sequestered,True,,,
ES co2 sequestered,ES co2 stored,ES co2 sequestered,co2 sequestered,True,,,
FI co2 sequestered,FI co2 stored,FI co2 sequestered,co2 sequestered,True,,,
FR co2 sequestered,FR co2 stored,FR co2 sequestered,co2 sequestered,True,,,
GB co2 sequestered,GB co2 stored,GB co2 sequestered,co2 sequestered,True,,,
GBI co2 sequestered,GBI co2 stored,GBI co2 sequestered,co2 sequestered,True,,,
GR co2 sequestered,GR co2 stored,GR co2 sequestered,co2 sequestered,True,,,
HR co2 sequestered,HR co2 stored,HR co2 sequestered,co2 sequestered,True,,,
HU co2 sequestered,HU co2 stored,HU co2 sequestered,co2 sequestered,True,,,
IE co2 sequestered,IE co2 stored,IE co2 sequestered,co2 sequestered,True,,,
IT co2 sequestered,IT co2 stored,IT co2 sequestered,co2 sequestered,True,,,
LT co2 sequestered,LT co2 stored,LT co2 sequestered,co2 sequestered,True,,,
LU co2 sequestered,LU co2 stored,LU co2 sequestered,co2 sequestered,True,,,
LV co2 sequestered,LV co2 stored,LV co2 sequestered,co2 sequestered,True,,,
ME co2 sequestered,ME co2 stored,ME co2 sequestered,co2 sequestered,True,,,
MK co2 sequestered,MK co2 stored,MK co2 sequestered,co2 sequestered,True,,,
NL co2 sequestered,NL co2 stored,NL co2 sequestered,co2 sequestered,True,,,
NO co2 sequestered,NO co2 stored,NO co2 sequestered,co2 sequestered,True,,,
PL co2 sequestered,PL co2 stored,PL co2 sequestered,co2 sequestered,True,,,
PT co2 sequestered,PT co2 stored,PT co2 sequestered,co2 sequestered,True,,,
RO co2 sequestered,RO co2 stored,RO co2 sequestered,co2 sequestered,True,,,
RS co2 sequestered,RS co2 stored,RS co2 sequestered,co2 sequestered,True,,,
SE co2 sequestered,SE co2 stored,SE co2 sequestered,co2 sequestered,True,,,
SI co2 sequestered,SI co2 stored,SI co2 sequestered,co2 sequestered,True,,,
SK co2 sequestered,SK co2 stored,SK co2 sequestered,co2 sequestered,True,,,
XK co2 sequestered,XK co2 stored,XK co2 sequestered,co2 sequestered,True,,,
AL OCGT,AL gas,AL,OCGT,True,,,co2 atmosphere
AT OCGT,AT gas,AT,OCGT,True,,,co2 atmosphere
BA OCGT,BA gas,BA,OCGT,True,,,co2 atmosphere
BE OCGT,BE gas,BE,OCGT,True,,,co2 atmosphere
BG OCGT,BG gas,BG,OCGT,True,,,co2 atmosphere
CH OCGT,CH gas,CH,OCGT,True,,,co2 atmosphere
CZ OCGT,CZ gas,CZ,OCGT,True,,,co2 atmosphere
DE OCGT,DE gas,DE,OCGT,True,,,co2 atmosphere
DK OCGT,DK gas,DK,OCGT,True,,,co2 atmosphere
EE OCGT,EE gas,EE,OCGT,True,,,co2 atmosphere
ES OCGT,ES gas,ES,OCGT,True,,,co2 atmosphere
FI OCGT,FI gas,FI,OCGT,True,,,co2 atmosphere
FR OCGT,FR gas,FR,OCGT,True,,,co2 atmosphere
GB OCGT,GB gas,GB,OCGT,True,,,co2 atmosphere
GBI OCGT,GBI gas,GBI,OCGT,True,,,co2 atmosphere
GR OCGT,GR gas,GR,OCGT,True,,,co2 atmosphere
HR OCGT,HR gas,HR,OCGT,True,,,co2 atmosphere
HU OCGT,HU gas,HU,OCGT,True,,,co2 atmosphere
IE OCGT,IE gas,IE,OCGT,True,,,co2 atmosphere
IT OCGT,IT gas,IT,OCGT,True,,,co2 atmosphere
LT OCGT,LT gas,LT,OCGT,True,,,co2 atmosphere
LU OCGT,LU gas,LU,OCGT,True,,,co2 atmosphere
LV OCGT,LV gas,LV,OCGT,True,,,co2 atmosphere
ME OCGT,ME gas,ME,OCGT,True,,,co2 atmosphere
MK OCGT,MK gas,MK,OCGT,True,,,co2 atmosphere
NL OCGT,NL gas,NL,OCGT,True,,,co2 atmosphere
NO OCGT,NO gas,NO,OCGT,True,,,co2 atmosphere
PL OCGT,PL gas,PL,OCGT,True,,,co2 atmosphere
PT OCGT,PT gas,PT,OCGT,True,,,co2 atmosphere
RO OCGT,RO gas,RO,OCGT,True,,,co2 atmosphere
RS OCGT,RS gas,RS,OCGT,True,,,co2 atmosphere
SE OCGT,SE gas,SE,OCGT,True,,,co2 atmosphere
SI OCGT,SI gas,SI,OCGT,True,,,co2 atmosphere
SK OCGT,SK gas,SK,OCGT,True,,,co2 atmosphere
XK OCGT,XK gas,XK,OCGT,True,,,co2 atmosphere
AL CCGT,AL gas,AL,CCGT,True,,,co2 atmosphere
AT CCGT,AT gas,AT,CCGT,True,,,co2 atmosphere
BA CCGT,BA gas,BA,CCGT,True,,,co2 atmosphere
BE CCGT,BE gas,BE,CCGT,True,,,co2 atmosphere
BG CCGT,BG gas,BG,CCGT,True,,,co2 atmosphere
CH CCGT,CH gas,CH,CCGT,True,,,co2 atmosphere
CZ CCGT,CZ gas,CZ,CCGT,True,,,co2 atmosphere
DE CCGT,DE gas,DE,CCGT,True,,,co2 atmosphere
DK CCGT,DK gas,DK,CCGT,True,,,co2 atmosphere
EE CCGT,EE gas,EE,CCGT,True,,,co2 atmosphere
ES CCGT,ES gas,ES,CCGT,True,,,co2 atmosphere
FI CCGT,FI gas,FI,CCGT,True,,,co2 atmosphere
