Load,bus,carrier,sign
AL,AL low voltage,electricity,-1.0
AT,AT low voltage,electricity,-1.0
BA,BA low voltage,electricity,-1.0
BE,BE low voltage,electricity,-1.0
BG,BG low voltage,electricity,-1.0
CH,CH low voltage,electricity,-1.0
CZ,CZ low voltage,electricity,-1.0
DE,DE low voltage,electricity,-1.0
DK,DK low voltage,electricity,-1.0
EE,EE low voltage,electricity,-1.0
ES,ES low voltage,electricity,-1.0
FI,FI low voltage,electricity,-1.0
FR,FR low voltage,electricity,-1.0
GB,GB low voltage,electricity,-1.0
GBI,GBI low voltage,electricity,-1.0
GR,GR low voltage,electricity,-1.0
HR,HR low voltage,electricity,-1.0
HU,HU low voltage,electricity,-1.0
IE,IE low voltage,electricity,-1.0
IT,IT low voltage,electricity,-1.0
LT,LT low voltage,electricity,-1.0
LU,LU low voltage,electricity,-1.0
LV,LV low voltage,electricity,-1.0
ME,ME low voltage,electricity,-1.0
MK,MK low voltage,electricity,-1.0
NL,NL low voltage,electricity,-1.0
NO,NO low voltage,electricity,-1.0
PL,PL low voltage,electricity,-1.0
PT,PT low voltage,electricity,-1.0
RO,RO low voltage,electricity,-1.0
RS,RS low voltage,electricity,-1.0
SE,SE low voltage,electricity,-1.0
SI,SI low voltage,electricity,-1.0
SK,SK low voltage,electricity,-1.0
XK,XK low voltage,electricity,-1.0
AL land transport EV,AL EV battery,land transport EV,-1.0
AT land transport EV,AT EV battery,land transport EV,-1.0
BA land transport EV,BA EV battery,land transport EV,-1.0
BE land transport EV,BE EV battery,land transport EV,-1.0
BG land transport EV,BG EV battery,land transport EV,-1.0
CH land transport EV,CH EV battery,land transport EV,-1.0
CZ land transport EV,CZ EV battery,land transport EV,-1.0
DE land transport EV,DE EV battery,land transport EV,-1.0
DK land transport EV,DK EV battery,land transport EV,-1.0
EE land transport EV,EE EV battery,land transport EV,-1.0
ES land transport EV,ES EV battery,land transport EV,-1.0
FI land transport EV,FI EV battery,land transport EV,-1.0
FR land transport EV,FR EV battery,land transport EV,-1.0
GB land transport EV,GB EV battery,land transport EV,-1.0
GBI land transport EV,GBI EV battery,land transport EV,-1.0
GR land transport EV,GR EV battery,land transport EV,-1.0
HR land transport EV,HR EV battery,land transport EV,-1.0
HU land transport EV,HU EV battery,land transport EV,-1.0
IE land transport EV,IE EV battery,land transport EV,-1.0
IT land transport EV,IT EV battery,land transport EV,-1.0
LT land transport EV,LT EV battery,land transport EV,-1.0
LU land transport EV,LU EV battery,land transport EV,-1.0
LV land transport EV,LV EV battery,land transport EV,-1.0
ME land transport EV,ME EV battery,land transport EV,-1.0
MK land transport EV,MK EV battery,land transport EV,-1.0
NL land transport EV,NL EV battery,land transport EV,-1.0
NO land transport EV,NO EV battery,land transport EV,-1.0
PL land transport EV,PL EV battery,land transport EV,-1.0
PT land transport EV,PT EV battery,land transport EV,-1.0
RO land transport EV,RO EV battery,land transport EV,-1.0
RS land transport EV,RS EV battery,land transport EV,-1.0
SE land transport EV,SE EV battery,land transport EV,-1.0
SI land transport EV,SI EV battery,land transport EV,-1.0
SK land transport EV,SK EV battery,land transport EV,-1.0
XK land transport EV,XK EV battery,land transport EV,-1.0
AL land transport fuel cell,AL H2,land transport fuel cell,-1.0
AT land transport fuel cell,AT H2,land transport fuel cell,-1.0
BA land transport fuel cell,BA H2,land transport fuel cell,-1.0
BE land transport fuel cell,BE H2,land transport fuel cell,-1.0
BG land transport fuel cell,BG H2,land transport fuel cell,-1.0
CH land transport fuel cell,CH H2,land transport fuel cell,-1.0
CZ land transport fuel cell,CZ H2,land transport fuel cell,-1.0
DE land transport fuel cell,DE H2,land transport fuel cell,-1.0
DK land transport fuel cell,DK H2,land transport fuel cell,-1.0
EE land transport fuel cell,EE H2,land transport fuel cell,-1.0
ES land transport fuel cell,ES H2,land transport fuel cell,-1.0
FI land transport fuel cell,FI H2,land transport fuel cell,-1.0
FR land transport fuel cell,FR H2,land transport fuel cell,-1.0
GB land transport fuel cell,GB H2,land transport fuel cell,-1.0
GBI land transport fuel cell,GBI H2,land transport fuel cell,-1.0
GR land transport fuel cell,GR H2,land transport fuel cell,-1.0
HR land transport fuel cell,HR H2,land transport fuel cell,-1.0
HU land transport fuel cell,HU H2,land transport fuel cell,-1.0
IE land transport fuel cell,IE H2,land transport fuel cell,-1.0
IT land transport fuel cell,IT H2,land transport fuel cell,-1.0
