StorageUnit,bus,p_nom_extendable,sign,carrier
AT PHS,AT,False,1.0,PHS
BA PHS,BA,False,1.0,PHS
BE PHS,BE,False,1.0,PHS
BG PHS,BG,False,1.0,PHS
CH PHS,CH,False,1.0,PHS
CZ PHS,CZ,False,1.0,PHS
DE PHS,DE,False,1.0,PHS
ES PHS,ES,False,1.0,PHS
FR PHS,FR,False,1.0,PHS
GB PHS,GB,False,1.0,PHS
GR PHS,GR,False,1.0,PHS
HR PHS,HR,False,1.0,PHS
IE PHS,IE,False,1.0,PHS
IT PHS,IT,False,1.0,PHS
LT PHS,LT,False,1.0,PHS
LU PHS,LU,False,1.0,PHS
ME PHS,ME,False,1.0,PHS
NO PHS,NO,False,1.0,PHS
PL PHS,PL,False,1.0,PHS
PT PHS,PT,False,1.0,PHS
RS PHS,RS,False,1.0,PHS
SE PHS,SE,False,1.0,PHS
SI PHS,SI,False,1.0,PHS
SK PHS,SK,False,1.0,PHS
AL hydro,AL,False,1.0,hydro
AT hydro,AT,False,1.0,hydro
BA hydro,BA,False,1.0,hydro
BE hydro,BE,False,1.0,hydro
BG hydro,BG,False,1.0,hydro
CH hydro,CH,False,1.0,hydro
CZ hydro,CZ,False,1.0,hydro
DE hydro,DE,False,1.0,hydro
ES hydro,ES,False,1.0,hydro
FI hydro,FI,False,1.0,hydro
FR hydro,FR,False,1.0,hydro
GB hydro,GB,False,1.0,hydro
GR hydro,GR,False,1.0,hydro
HR hydro,HR,False,1.0,hydro
HU hydro,HU,False,1.0,hydro
IE hydro,IE,False,1.0,hydro
IT hydro,IT,False,1.0,hydro
LT hydro,LT,False,1.0,hydro
ME hydro,ME,False,1.0,hydro
MK hydro,MK,False,1.0,hydro
NO hydro,NO,False,1.0,hydro
PL hydro,PL,False,1.0,hydro
PT hydro,PT,False,1.0,hydro
RO hydro,RO,False,1.0,hydro
RS hydro,RS,False,1.0,hydro
SE hydro,SE,False,1.0,hydro
SI hydro,SI,False,1.0,hydro
SK hydro,SK,False,1.0,hydro
XK hydro,XK,False,1.0,hydro
