Store,bus,carrier,e_nom_extendable,sign
co2 atmosphere,co2 atmosphere,co2,False,1.0
AL co2 stored,AL co2 stored,co2 stored,True,1.0
AT co2 stored,AT co2 stored,co2 stored,True,1.0
BA co2 stored,BA co2 stored,co2 stored,True,1.0
BE co2 stored,BE co2 stored,co2 stored,True,1.0
BG co2 stored,BG co2 stored,co2 stored,True,1.0
CH co2 stored,CH co2 stored,co2 stored,True,1.0
CZ co2 stored,CZ co2 stored,co2 stored,True,1.0
DE co2 stored,DE co2 stored,co2 stored,True,1.0
DK co2 stored,DK co2 stored,co2 stored,True,1.0
EE co2 stored,EE co2 stored,co2 stored,True,1.0
ES co2 stored,ES co2 stored,co2 stored,True,1.0
FI co2 stored,FI co2 stored,co2 stored,True,1.0
FR co2 stored,FR co2 stored,co2 stored,True,1.0
GB co2 stored,GB co2 stored,co2 stored,True,1.0
GBI co2 stored,GBI co2 stored,co2 stored,True,1.0
GR co2 stored,GR co2 stored,co2 stored,True,1.0
HR co2 stored,HR co2 stored,co2 stored,True,1.0
HU co2 stored,HU co2 stored,co2 stored,True,1.0
IE co2 stored,IE co2 stored,co2 stored,True,1.0
IT co2 stored,IT co2 stored,co2 stored,True,1.0
LT co2 stored,LT co2 stored,co2 stored,True,1.0
LU co2 stored,LU co2 stored,co2 stored,True,1.0
LV co2 stored,LV co2 stored,co2 stored,True,1.0
ME co2 stored,ME co2 stored,co2 stored,True,1.0
MK co2 stored,MK co2 stored,co2 stored,True,1.0
NL co2 stored,NL co2 stored,co2 stored,True,1.0
NO co2 stored,NO co2 stored,co2 stored,True,1.0
PL co2 stored,PL co2 stored,co2 stored,True,1.0
PT co2 stored,PT co2 stored,co2 stored,True,1.0
RO co2 stored,RO co2 stored,co2 stored,True,1.0
RS co2 stored,RS co2 stored,co2 stored,True,1.0
SE co2 stored,SE co2 stored,co2 stored,True,1.0
SI co2 stored,SI co2 stored,co2 stored,True,1.0
SK co2 stored,SK co2 stored,co2 stored,True,1.0
XK co2 stored,XK co2 stored,co2 stored,True,1.0
AL co2 sequestered,AL co2 sequestered,co2 sequestered,True,1.0
AT co2 sequestered,AT co2 sequestered,co2 sequestered,True,1.0
BA co2 sequestered,BA co2 sequestered,co2 sequestered,True,1.0
BE co2 sequestered,BE co2 sequestered,co2 sequestered,True,1.0
BG co2 sequestered,BG co2 sequestered,co2 sequestered,True,1.0
CH co2 sequestered,CH co2 sequestered,co2 sequestered,True,1.0
CZ co2 sequestered,CZ co2 sequestered,co2 sequestered,True,1.0
